date,action,price,weight,shares
2016-05-30,buy,19.0,1.0,5263
2016-08-09,sell,23.75,-1.0,5263
2016-09-29,buy,25.0,1.0,4999
2018-02-26,sell,36.88999938964844,-1.0,4999
2018-03-08,buy,36.29999923706055,1.0,5080
2018-09-13,sell,39.61000061035156,-1.0,5080
2019-01-15,buy,31.600000381469727,1.0,6368
2019-05-20,sell,36.68000030517578,-1.0,6368
2019-07-26,buy,41.38999938964844,1.0,5643
2019-11-21,sell,48.86000061035156,-1.0,5643
2020-04-13,buy,37.38999938964844,1.0,7375
2021-05-17,sell,99.5500030517578,-1.0,7375
2021-05-26,buy,117.1999969482422,1.0,6264
2022-03-11,sell,131.75,-1.0,6264
2022-04-15,buy,127.75,1.0,6460
2023-07-14,sell,140.8000030517578,-1.0,6460
2023-08-14,buy,129.9499969482422,1.0,6999
2023-09-07,sell,132.1999969482422,-1.0,6999
2023-09-22,buy,125.9499969482422,1.0,7347
2024-07-08,sell,264.0,-1.0,7347
2024-08-08,buy,201.1000061035156,1.0,9645
2025-02-13,sell,241.8000030517578,-1.0,9645
2025-05-05,buy,181.3000030517578,1.0,12863
2025-08-08,sell_forced,253.1999969482422,-1.0,12863
