date,action,price,weight,shares
2016-04-29,buy,18.649999618530277,1.0,5361
2016-10-24,sell,25.59000015258789,-1.0,5361
2016-12-21,buy,25.030000686645508,1.0,5481
2018-01-24,sell,39.43999862670898,-1.0,5481
2018-03-06,buy,36.0,1.0,6005
2018-08-29,sell,40.650001525878906,-1.0,6005
2018-10-25,buy,30.149999618530277,1.0,8096
2019-04-15,sell,39.5,-1.0,8096
2019-05-22,buy,36.59999847412109,1.0,8737
2019-12-19,sell,54.54999923706055,-1.0,8737
2020-01-14,buy,55.09999847412109,1.0,8650
2020-08-11,sell,66.1500015258789,-1.0,8650
2020-10-21,buy,67.30000305175781,1.0,8502
2021-01-21,sell,106.3499984741211,-1.0,8502
2021-03-29,buy,114.0,1.0,7931
2022-02-15,sell,143.0,-1.0,7931
2022-07-14,buy,92.3499984741211,1.0,12281
2022-07-28,sell,104.3000030517578,-1.0,12281
2022-11-08,buy,81.4000015258789,1.0,15736
2023-08-25,sell,131.75,-1.0,15736
2023-09-08,buy,130.5,1.0,15887
2023-10-17,sell,134.0,-1.0,15887
2023-11-08,buy,132.5,1.0,16067
2024-10-16,sell,241.4499969482422,-1.0,16067
2024-11-06,buy,244.3999938964844,1.0,15873
2025-08-08,sell_forced,253.1999969482422,-1.0,15873
