date,action,price,weight,shares
2015-09-04,buy,17.040000915527344,1.0,5868
2015-11-30,sell,18.229999542236328,-1.0,5868
2016-05-30,buy,19.0,1.0,5630
2018-02-07,sell,35.20000076293945,-1.0,5630
2018-03-20,buy,37.470001220703125,1.0,5289
2018-08-17,sell,38.630001068115234,-1.0,5289
2018-11-19,buy,32.27000045776367,1.0,6331
2020-01-17,sell,54.400001525878906,-1.0,6331
2020-04-22,buy,38.310001373291016,1.0,8990
2021-10-04,sell,121.1999969482422,-1.0,8990
2022-07-27,buy,101.0999984741211,1.0,10777
2022-09-05,sell,100.25,-1.0,10777
2022-11-08,buy,81.4000015258789,1.0,13273
2023-07-21,sell,136.39999389648438,-1.0,13273
2023-11-13,buy,136.64999389648438,1.0,13248
2024-03-25,sell,193.5500030517578,-1.0,13248
2024-09-13,buy,217.8000030517578,1.0,11773
2024-11-14,sell,238.3500061035156,-1.0,11773
2025-05-05,buy,181.3000030517578,1.0,15478
2025-08-08,sell_forced,253.1999969482422,-1.0,15478
