date,action,price,weight,shares
2016-01-18,buy,15.149999618530272,1.0,6600
2017-11-06,sell,37.0,-1.0,6600
2017-11-17,buy,36.25,1.0,6736
2018-02-01,sell,38.79999923706055,-1.0,6736
2018-02-12,buy,34.0,1.0,7687
2018-05-25,sell,36.619998931884766,-1.0,7687
2018-06-25,buy,36.209999084472656,1.0,7774
2018-12-05,sell,32.45000076293945,-1.0,7774
2018-12-27,buy,30.920000076293945,1.0,8159
2019-02-27,sell,35.93000030517578,-1.0,8159
2019-03-07,buy,35.38999938964844,1.0,8284
2019-07-19,sell,40.9900016784668,-1.0,8284
2019-08-01,buy,40.400001525878906,1.0,8405
2020-05-04,sell,41.61000061035156,-1.0,8405
2020-06-05,buy,48.310001373291016,1.0,7239
2021-07-06,sell,136.10000610351562,-1.0,7239
2021-07-20,buy,132.0,1.0,7463
2022-06-02,sell,119.4499969482422,-1.0,7463
2022-06-21,buy,106.5999984741211,1.0,8363
2022-08-18,sell,109.8499984741211,-1.0,8363
2022-09-08,buy,97.25,1.0,9447
2022-12-02,sell,102.6500015258789,-1.0,9447
2022-12-13,buy,99.25,1.0,9771
2023-06-08,sell,133.10000610351562,-1.0,9771
2023-07-11,buy,134.3000030517578,1.0,9683
2024-07-11,sell,279.3999938964844,-1.0,9683
2024-07-22,buy,246.0500030517578,1.0,10995
2024-10-17,sell,244.3500061035156,-1.0,10995
2024-11-12,buy,245.4499969482422,1.0,10946
2025-05-20,sell,197.5,-1.0,10946
2025-06-23,buy,197.4499969482422,1.0,10949
2025-08-08,sell_forced,253.1999969482422,-1.0,10949
