date,action,price,weight,shares
2016-05-12,buy,17.329999923706055,1.0,5770
2016-10-27,sell,25.739999771118164,-1.0,5770
2016-11-21,buy,23.8799991607666,1.0,6219
2017-06-23,sell,32.20000076293945,-1.0,6219
2017-08-02,buy,34.31999969482422,1.0,5835
2018-01-29,sell,39.59999847412109,-1.0,5835
2018-04-23,buy,35.599998474121094,1.0,6490
2018-10-01,sell,40.83000183105469,-1.0,6490
2018-10-31,buy,31.299999237060547,1.0,8467
2019-05-02,sell,40.58000183105469,-1.0,8467
2019-05-29,buy,34.95000076293945,1.0,9830
2019-11-18,sell,49.130001068115234,-1.0,9830
2020-03-02,buy,45.65999984741211,1.0,10577
2020-08-27,sell,66.5,-1.0,10577
2020-12-04,buy,80.9000015258789,1.0,8694
2022-01-07,sell,149.5,-1.0,8694
2022-05-10,buy,109.0500030517578,1.0,11919
2023-02-15,sell,112.0500030517578,-1.0,11919
2023-03-09,buy,116.25,1.0,11488
2024-02-20,sell,163.9499969482422,-1.0,11488
2024-04-23,buy,182.5500030517578,1.0,10317
2025-08-08,sell_forced,253.1999969482422,-1.0,10317
