date,action,price,weight,shares
2016-03-24,buy,20.09000015258789,1.0,4977
2016-09-23,sell,24.790000915527344,-1.0,4977
2016-11-14,buy,23.649999618530277,1.0,5217
2016-12-20,sell,25.1200008392334,-1.0,5217
2017-01-19,buy,25.149999618530277,1.0,5211
2017-10-19,sell,36.52999877929688,-1.0,5211
2017-11-28,buy,36.27000045776367,1.0,5248
2018-06-13,sell,37.93999862670898,-1.0,5248
2018-07-05,buy,36.380001068115234,1.0,5473
2018-09-06,sell,40.52999877929688,-1.0,5473
2018-10-11,buy,35.099998474121094,1.0,6320
2019-02-22,sell,35.209999084472656,-1.0,6320
2019-05-14,buy,37.0,1.0,6014
2019-12-17,sell,53.150001525878906,-1.0,6014
2019-12-30,buy,54.54999923706055,1.0,5859
2020-01-17,sell,54.400001525878906,-1.0,5859
2020-02-03,buy,46.5,1.0,6855
2020-08-03,sell,63.400001525878906,-1.0,6855
2020-09-24,buy,62.0,1.0,7010
2021-11-22,sell,139.6999969482422,-1.0,7010
2021-11-30,buy,132.89999389648438,1.0,7368
2022-01-06,sell,148.25,-1.0,7368
2022-02-17,buy,147.8000030517578,1.0,7391
2022-08-17,sell,111.25,-1.0,7391
2022-10-18,buy,80.1500015258789,1.0,10259
2022-11-21,sell,97.5999984741211,-1.0,10259
2023-01-03,buy,91.5,1.0,10943
2023-09-25,sell,128.0500030517578,-1.0,10943
2023-10-31,buy,124.5500030517578,1.0,11250
2024-03-07,sell,183.3000030517578,-1.0,11250
2024-04-23,buy,182.5500030517578,1.0,11296
2024-06-19,sell,249.0,-1.0,11296
2024-07-30,buy,228.6999969482422,1.0,12299
2025-02-24,sell,245.1499938964844,-1.0,12299
2025-03-11,buy,213.6000061035156,1.0,14115
2025-07-15,sell,221.1000061035156,-1.0,14115
