date,action,price,weight,shares
2016-04-25,buy,19.299999237060547,1.0,5181
2016-10-24,sell,25.59000015258789,-1.0,5181
2016-12-22,buy,24.899999618530277,1.0,5324
2018-01-24,sell,39.43999862670898,-1.0,5324
2018-03-07,buy,36.09999847412109,1.0,5817
2018-08-30,sell,41.630001068115234,-1.0,5817
2018-10-25,buy,30.149999618530277,1.0,8032
2019-04-15,sell,39.5,-1.0,8032
2019-05-22,buy,36.59999847412109,1.0,8668
2019-12-20,sell,54.04999923706055,-1.0,8668
2020-01-15,buy,55.04999923706055,1.0,8510
2020-08-11,sell,66.1500015258789,-1.0,8510
2020-10-21,buy,67.30000305175781,1.0,8365
2021-01-22,sell,109.5,-1.0,8365
2021-03-29,buy,114.0,1.0,8034
2022-02-15,sell,143.0,-1.0,8034
2022-07-14,buy,92.3499984741211,1.0,12441
2022-07-28,sell,104.3000030517578,-1.0,12441
2022-11-08,buy,81.4000015258789,1.0,15941
2023-08-25,sell,131.75,-1.0,15941
2023-09-11,buy,131.35000610351562,1.0,15989
2023-10-18,sell,131.60000610351562,-1.0,15989
2023-11-08,buy,132.5,1.0,15881
2024-10-16,sell,241.4499969482422,-1.0,15881
2024-11-06,buy,244.3999938964844,1.0,15689
2025-08-08,sell_forced,253.1999969482422,-1.0,15689
