date,action,price,weight,shares
2016-04-21,buy,19.209999084472656,1.0,5205
2016-10-24,sell,25.59000015258789,-1.0,5205
2016-12-20,buy,25.1200008392334,1.0,5302
2017-12-19,sell,34.279998779296875,-1.0,5302
2018-03-06,buy,36.0,1.0,5049
2018-08-28,sell,40.29999923706055,-1.0,5049
2018-10-23,buy,32.66999816894531,1.0,6228
2019-04-15,sell,39.5,-1.0,6228
2019-05-21,buy,36.18000030517578,1.0,6799
2019-12-20,sell,54.04999923706055,-1.0,6799
2020-01-10,buy,53.70000076293945,1.0,6843
2020-08-11,sell,66.1500015258789,-1.0,6843
2020-10-20,buy,67.25,1.0,6731
2021-01-21,sell,106.3499984741211,-1.0,6731
2021-03-26,buy,110.1999969482422,1.0,6496
2022-02-14,sell,144.8000030517578,-1.0,6496
2022-04-18,buy,124.8499984741211,1.0,7534
2022-06-01,sell,121.1999969482422,-1.0,7534
2022-07-13,buy,93.3000030517578,1.0,9787
2022-07-28,sell,104.3000030517578,-1.0,9787
2022-11-07,buy,79.05000305175781,1.0,12913
2023-10-17,sell,134.0,-1.0,12913
2023-11-07,buy,131.5,1.0,13158
2024-10-16,sell,241.4499969482422,-1.0,13158
2024-11-05,buy,238.3500061035156,1.0,13329
2025-08-08,sell_forced,253.1999969482422,-1.0,13329
