date,action,price,weight,shares
2015-08-31,buy,16.649999618530273,1.0,6006
2015-11-30,sell,18.229999542236328,-1.0,6006
2016-05-24,buy,18.479999542236328,1.0,5924
2018-02-07,sell,35.20000076293945,-1.0,5924
2018-03-14,buy,38.33000183105469,1.0,5440
2018-08-17,sell,38.630001068115234,-1.0,5440
2018-11-13,buy,30.989999771118164,1.0,6781
2019-11-25,sell,49.810001373291016,-1.0,6781
2019-12-16,buy,53.04999923706055,1.0,6367
2020-01-17,sell,54.400001525878906,-1.0,6367
2020-04-16,buy,39.0,1.0,8881
2021-10-04,sell,121.1999969482422,-1.0,8881
2022-07-21,buy,100.4499969482422,1.0,10715
2022-09-05,sell,100.25,-1.0,10715
2022-11-02,buy,78.19999694824219,1.0,13737
2023-07-21,sell,136.39999389648438,-1.0,13737
2023-11-07,buy,131.5,1.0,14249
2024-03-25,sell,193.5500030517578,-1.0,14249
2024-09-09,buy,201.1499938964844,1.0,13710
2024-11-14,sell,238.3500061035156,-1.0,13710
2025-04-28,buy,167.8000030517578,1.0,19475
2025-08-08,sell_forced,253.1999969482422,-1.0,19475
