date,action,price,weight,shares
2016-05-23,buy,17.450000762939453,1.0,5730
2016-10-27,sell,25.739999771118164,-1.0,5730
2016-11-21,buy,23.8799991607666,1.0,6176
2017-06-23,sell,32.20000076293945,-1.0,6176
2017-08-02,buy,34.31999969482422,1.0,5795
2018-01-30,sell,39.11000061035156,-1.0,5795
2018-04-25,buy,34.400001525878906,1.0,6588
2018-10-02,sell,41.0099983215332,-1.0,6588
2018-10-31,buy,31.299999237060547,1.0,8632
2019-05-02,sell,40.58000183105469,-1.0,8632
2019-05-29,buy,34.95000076293945,1.0,10022
2019-11-18,sell,49.130001068115234,-1.0,10022
2020-03-02,buy,45.65999984741211,1.0,10784
2020-08-27,sell,66.5,-1.0,10784
2020-12-09,buy,84.8499984741211,1.0,8451
2022-01-11,sell,146.85000610351562,-1.0,8451
2022-05-11,buy,111.6500015258789,1.0,11116
2023-02-17,sell,111.1500015258789,-1.0,11116
2023-03-08,buy,115.3499984741211,1.0,10711
2024-02-21,sell,165.64999389648438,-1.0,10711
2024-04-23,buy,182.5500030517578,1.0,9719
2025-08-08,sell_forced,253.1999969482422,-1.0,9719
