date,action,price,weight,shares
2016-04-11,buy,19.049999237060547,1.0,5249
2016-10-04,sell,24.780000686645508,-1.0,5249
2016-11-16,buy,23.850000381469727,1.0,5453
2016-12-15,sell,25.46999931335449,-1.0,5453
2017-01-17,buy,25.190000534057617,1.0,5514
2017-10-19,sell,36.52999877929688,-1.0,5514
2017-11-29,buy,36.150001525878906,1.0,5572
2018-02-05,sell,37.5,-1.0,5572
2018-02-09,buy,33.099998474121094,1.0,6313
2018-06-14,sell,37.650001525878906,-1.0,6313
2018-07-05,buy,36.380001068115234,1.0,6533
2018-08-06,sell,40.119998931884766,-1.0,6533
2018-08-20,buy,38.40999984741211,1.0,6824
2018-09-03,sell,41.040000915527344,-1.0,6824
2018-09-14,buy,39.61000061035156,1.0,7070
2018-10-02,sell,41.0099983215332,-1.0,7070
2018-10-08,buy,37.36000061035156,1.0,7761
2019-02-25,sell,35.619998931884766,-1.0,7761
2019-05-15,buy,37.40999984741211,1.0,7390
2019-12-17,sell,53.150001525878906,-1.0,7390
2020-02-17,buy,51.09999847412109,1.0,7686
2020-08-05,sell,64.8499984741211,-1.0,7686
2020-09-25,buy,61.0,1.0,8171
2021-11-23,sell,138.0,-1.0,8171
2021-12-01,buy,131.64999389648438,1.0,8565
2022-01-03,sell,147.6999969482422,-1.0,8565
2022-02-17,buy,147.8000030517578,1.0,8559
2022-08-18,sell,109.8499984741211,-1.0,8559
2022-10-26,buy,74.19999694824219,1.0,12672
2022-11-18,sell,98.4000015258789,-1.0,12672
2022-12-30,buy,93.4499969482422,1.0,13343
2023-10-02,sell,130.14999389648438,-1.0,13343
2023-10-31,buy,124.5500030517578,1.0,13943
2024-03-06,sell,176.0,-1.0,13943
2024-04-24,buy,186.8999938964844,1.0,13130
2024-06-18,sell,241.9499969482422,-1.0,13130
2024-07-30,buy,228.6999969482422,1.0,13890
2025-02-25,sell,242.0,-1.0,13890
2025-03-11,buy,213.6000061035156,1.0,15737
2025-07-10,sell,218.6000061035156,-1.0,15737
