date,action,price,weight,shares
2016-01-22,buy,15.489999771118164,1.0,6455
2017-11-07,sell,36.79999923706055,-1.0,6455
2017-11-16,buy,35.40999984741211,1.0,6708
2018-02-02,sell,38.650001525878906,-1.0,6708
2018-02-09,buy,33.099998474121094,1.0,7833
2018-05-28,sell,37.040000915527344,-1.0,7833
2018-06-25,buy,36.209999084472656,1.0,8013
2018-12-05,sell,32.45000076293945,-1.0,8013
2018-12-26,buy,30.51000022888184,1.0,8522
2019-07-25,sell,41.59999847412109,-1.0,8522
2019-07-31,buy,41.060001373291016,1.0,8634
2020-05-05,sell,42.79999923706055,-1.0,8634
2020-06-05,buy,48.310001373291016,1.0,7649
2022-06-02,sell,119.4499969482422,-1.0,7649
2022-06-20,buy,106.9499969482422,1.0,8543
2022-08-19,sell,110.3499984741211,-1.0,8543
2022-09-07,buy,97.1500015258789,1.0,9704
2022-12-02,sell,102.6500015258789,-1.0,9704
2022-12-12,buy,98.5999984741211,1.0,10102
2023-06-09,sell,132.1999969482422,-1.0,10102
2023-07-10,buy,132.6999969482422,1.0,10064
2024-07-11,sell,279.3999938964844,-1.0,10064
2024-07-19,buy,254.5,1.0,11048
2024-10-18,sell,257.04998779296875,-1.0,11048
2024-11-12,buy,245.4499969482422,1.0,11571
2025-05-21,sell,196.1000061035156,-1.0,11571
2025-06-23,buy,197.4499969482422,1.0,11491
2025-08-08,sell_forced,253.1999969482422,-1.0,11491
