date,action,price,weight,shares
2016-05-18,buy,17.3700008392334,1.0,5757
2016-10-20,sell,25.25,-1.0,5757
2016-11-17,buy,23.739999771118164,1.0,6123
2017-06-19,sell,30.600000381469727,-1.0,6123
2017-07-27,buy,34.06999969482422,1.0,5499
2018-01-24,sell,39.43999862670898,-1.0,5499
2018-04-10,buy,36.790000915527344,1.0,5895
2018-09-25,sell,40.52999877929688,-1.0,5895
2018-10-26,buy,30.799999237060547,1.0,7757
2019-04-25,sell,40.66999816894531,-1.0,7757
2019-05-27,buy,35.790000915527344,1.0,8815
2019-11-07,sell,49.869998931884766,-1.0,8815
2020-02-18,buy,50.900001525878906,1.0,8636
2020-08-20,sell,64.80000305175781,-1.0,8636
2020-11-11,buy,69.94999694824219,1.0,8000
2022-01-05,sell,151.4499969482422,-1.0,8000
2022-04-27,buy,116.1999969482422,1.0,10427
2023-02-13,sell,112.8000030517578,-1.0,10427
2023-03-08,buy,115.3499984741211,1.0,10196
2024-02-15,sell,164.75,-1.0,10196
2024-04-17,buy,189.5500030517578,1.0,8862
2025-02-21,sell,245.6000061035156,-1.0,8862
2025-03-03,buy,230.0,1.0,9463
2025-08-08,sell_forced,253.1999969482422,-1.0,9463
