date,action,price,weight,shares
2016-04-15,buy,19.770000457763672,1.0,5058
2016-10-05,sell,24.81999969482422,-1.0,5058
2016-11-24,buy,24.729999542236328,1.0,5076
2016-12-20,sell,25.1200008392334,-1.0,5076
2017-01-19,buy,25.149999618530277,1.0,5070
2017-10-23,sell,36.68999862670898,-1.0,5070
2017-12-01,buy,35.060001373291016,1.0,5306
2018-02-02,sell,38.650001525878906,-1.0,5306
2018-02-08,buy,34.810001373291016,1.0,5891
2018-06-19,sell,36.709999084472656,-1.0,5891
2018-07-06,buy,35.9900016784668,1.0,6009
2018-08-08,sell,40.34000015258789,-1.0,6009
2018-08-23,buy,39.220001220703125,1.0,6180
2018-09-06,sell,40.52999877929688,-1.0,6180
2018-09-12,buy,39.650001525878906,1.0,6317
2018-10-02,sell,41.0099983215332,-1.0,6317
2018-10-11,buy,35.099998474121094,1.0,7381
2019-02-25,sell,35.619998931884766,-1.0,7381
2019-05-17,buy,37.369998931884766,1.0,7036
2019-12-18,sell,54.29999923706055,-1.0,7036
2020-02-11,buy,50.29999923706055,1.0,7595
2020-08-06,sell,66.55000305175781,-1.0,7595
2020-09-30,buy,63.04999923706055,1.0,8017
2020-12-14,sell,83.55000305175781,-1.0,8017
2020-12-18,buy,84.0,1.0,7974
2021-11-25,sell,137.0,-1.0,7974
2021-12-07,buy,137.0500030517578,1.0,7971
2022-01-07,sell,149.5,-1.0,7971
2022-02-23,buy,142.5500030517578,1.0,8359
2022-08-22,sell,108.3000030517578,-1.0,8359
2022-10-31,buy,76.44999694824219,1.0,11842
2022-11-18,sell,98.4000015258789,-1.0,11842
2023-01-04,buy,93.4000015258789,1.0,12476
2023-10-12,sell,133.85000610351562,-1.0,12476
2023-11-03,buy,128.85000610351562,1.0,12960
2024-03-07,sell,183.3000030517578,-1.0,12960
2024-04-23,buy,182.5500030517578,1.0,13013
2024-06-14,sell,233.6000061035156,-1.0,13013
2024-07-30,buy,228.6999969482422,1.0,13292
2025-03-06,sell,233.0500030517578,-1.0,13292
2025-03-13,buy,223.3999938964844,1.0,13866
2025-07-10,sell,218.6000061035156,-1.0,13866
