date,action,price,weight,shares
2016-01-11,buy,15.899999618530272,1.0,6289
2017-11-06,sell,37.0,-1.0,6289
2017-11-24,buy,37.04999923706055,1.0,6280
2018-01-31,sell,38.33000183105469,-1.0,6280
2018-03-06,buy,36.0,1.0,6687
2018-05-25,sell,36.619998931884766,-1.0,6687
2018-06-29,buy,35.79999923706055,1.0,6840
2018-12-05,sell,32.45000076293945,-1.0,6840
2019-01-10,buy,31.34000015258789,1.0,7082
2019-02-27,sell,35.93000030517578,-1.0,7082
2019-03-26,buy,36.70000076293945,1.0,6933
2019-07-19,sell,40.9900016784668,-1.0,6933
2019-08-13,buy,38.43000030517578,1.0,7395
2020-05-04,sell,41.61000061035156,-1.0,7395
2020-06-17,buy,49.66999816894531,1.0,6195
2021-07-05,sell,133.8000030517578,-1.0,6195
2021-07-29,buy,127.1999969482422,1.0,6516
2022-06-02,sell,119.4499969482422,-1.0,6516
2022-06-29,buy,103.8000030517578,1.0,7499
2022-08-17,sell,111.25,-1.0,7499
2022-09-22,buy,93.75,1.0,8899
2022-12-02,sell,102.6500015258789,-1.0,8899
2022-12-22,buy,95.25,1.0,9590
2023-06-08,sell,133.10000610351562,-1.0,9590
2023-07-21,buy,136.39999389648438,1.0,9358
2024-07-11,sell,279.3999938964844,-1.0,9358
2024-07-29,buy,238.0,1.0,10985
2024-10-16,sell,241.4499969482422,-1.0,10985
2024-11-20,buy,236.1999969482422,1.0,11230
2025-05-20,sell,197.5,-1.0,11230
2025-07-01,buy,216.3500061035156,1.0,10251
2025-08-08,sell_forced,253.1999969482422,-1.0,10251
