date,action,price,weight,shares
2016-04-13,buy,19.3700008392334,1.0,5162
2016-09-29,sell,25.0,-1.0,5162
2016-11-23,buy,24.71999931335449,1.0,5220
2016-12-20,sell,25.1200008392334,-1.0,5220
2017-01-06,buy,25.530000686645508,1.0,5137
2017-02-14,sell,27.51000022888184,-1.0,5137
2017-02-22,buy,27.81999969482422,1.0,5079
2017-10-25,sell,36.59000015258789,-1.0,5079
2017-11-29,buy,36.150001525878906,1.0,5141
2018-06-15,sell,37.0,-1.0,5141
2018-07-09,buy,36.52999877929688,1.0,5207
2018-09-19,sell,39.90999984741211,-1.0,5207
2018-10-12,buy,31.68000030517578,1.0,6560
2019-02-27,sell,35.93000030517578,-1.0,6560
2019-05-17,buy,37.369998931884766,1.0,6307
2019-12-18,sell,54.29999923706055,-1.0,6307
2020-02-04,buy,53.04999923706055,1.0,6456
2020-08-06,sell,66.55000305175781,-1.0,6456
2020-09-30,buy,63.04999923706055,1.0,6814
2022-01-04,sell,148.75,-1.0,6814
2022-02-18,buy,144.8000030517578,1.0,7000
2022-08-19,sell,110.3499984741211,-1.0,7000
2022-10-26,buy,74.19999694824219,1.0,10410
2022-11-22,sell,96.4499969482422,-1.0,10410
2023-01-05,buy,95.1500015258789,1.0,10552
2023-10-02,sell,130.14999389648438,-1.0,10552
2023-11-01,buy,123.25,1.0,11143
2024-03-08,sell,189.6499938964844,-1.0,11143
2024-04-26,buy,190.1000061035156,1.0,11116
2024-06-21,sell,253.0500030517578,-1.0,11116
2024-07-31,buy,231.0,1.0,12177
2025-02-26,sell,239.0,-1.0,12177
2025-03-12,buy,216.6999969482422,1.0,13430
2025-07-22,sell,238.3500061035156,-1.0,13430
