date,action,price,weight,shares
2016-04-21,buy,19.209999084472656,1.0,5205
2016-10-24,sell,25.59000015258789,-1.0,5205
2016-12-20,buy,25.1200008392334,1.0,5302
2017-12-15,sell,34.38999938964844,-1.0,5302
2018-03-06,buy,36.0,1.0,5065
2018-08-24,sell,39.29999923706055,-1.0,5065
2018-10-22,buy,32.72999954223633,1.0,6082
2019-04-11,sell,39.290000915527344,-1.0,6082
2019-05-21,buy,36.18000030517578,1.0,6605
2019-12-19,sell,54.54999923706055,-1.0,6605
2020-01-09,buy,52.59999847412109,1.0,6849
2020-08-11,sell,66.1500015258789,-1.0,6849
2020-10-19,buy,66.5,1.0,6813
2021-01-13,sell,102.0,-1.0,6813
2021-03-25,buy,107.8499984741211,1.0,6443
2022-02-11,sell,146.4499969482422,-1.0,6443
2022-04-15,buy,127.75,1.0,7386
2022-06-01,sell,121.1999969482422,-1.0,7386
2022-07-13,buy,93.3000030517578,1.0,9595
2022-07-28,sell,104.3000030517578,-1.0,9595
2022-11-07,buy,79.05000305175781,1.0,12660
2023-10-17,sell,134.0,-1.0,12660
2023-11-07,buy,131.5,1.0,12901
2024-10-15,sell,245.6000061035156,-1.0,12901
2024-11-05,buy,238.3500061035156,1.0,13293
2025-08-08,sell_forced,253.1999969482422,-1.0,13293
