date,action,price,weight,shares
2016-01-18,buy,15.149999618530272,1.0,6600
2017-11-07,sell,36.79999923706055,-1.0,6600
2017-11-17,buy,36.25,1.0,6700
2018-02-02,sell,38.650001525878906,-1.0,6700
2018-02-12,buy,34.0,1.0,7616
2018-05-25,sell,36.619998931884766,-1.0,7616
2018-06-26,buy,35.90999984741211,1.0,7767
2018-12-05,sell,32.45000076293945,-1.0,7767
2018-12-27,buy,30.920000076293945,1.0,8151
2019-07-23,sell,41.66999816894531,-1.0,8151
2019-08-01,buy,40.400001525878906,1.0,8407
2020-05-05,sell,42.79999923706055,-1.0,8407
2020-06-08,buy,49.79999923706055,1.0,7225
2021-07-07,sell,134.10000610351562,-1.0,7225
2021-07-13,buy,136.60000610351562,1.0,7093
2022-06-01,sell,121.1999969482422,-1.0,7093
2022-06-21,buy,106.5999984741211,1.0,8064
2022-08-18,sell,109.8499984741211,-1.0,8064
2022-09-08,buy,97.25,1.0,9109
2022-12-02,sell,102.6500015258789,-1.0,9109
2022-12-14,buy,98.8499984741211,1.0,9459
2023-06-08,sell,133.10000610351562,-1.0,9459
2023-07-11,buy,134.3000030517578,1.0,9374
2024-07-10,sell,269.95001220703125,-1.0,9374
2024-07-22,buy,246.0500030517578,1.0,10285
2024-10-18,sell,257.04998779296875,-1.0,10285
2024-11-13,buy,239.5,1.0,11038
2025-05-20,sell,197.5,-1.0,11038
2025-06-24,buy,207.1499938964844,1.0,10524
2025-08-08,sell_forced,253.1999969482422,-1.0,10524
