equity,cash,position_value,w,invested_pct,cash_pct
1000000.0,1000000.0,0.0,0.2,0.0,1.0
1000000.0,1000000.0,0.0,0.2,0.0,1.0
1000000.0,1000000.0,0.0,0.2,0.0,1.0
1000000.0,1000000.0,0.0,0.2,0.0,1.0
999899.9977111816,1000000.0,-100.00228881835938,0.2,-0.00010001229027629697,1.0001000122902763
999899.9977111816,1000000.0,-100.00228881835938,0.2,-0.00010001229027629697,1.0001000122902763
1001800.7634514977,1000000.0,1800.7634514976526,0.2,0.00179752653141678,0.9982024734685833
1004977.9283051268,1000000.0,4977.928305126843,0.2,0.004953271275839868,0.9950467287241601
1005075.9771763878,1000000.0,5075.977176387794,0.2,0.005050341756896828,0.9949496582431032
1003605.8551726044,1000000.0,3605.855172604439,0.2,0.0035928996966486295,0.9964071003033513
1000845.4394540812,1000000.0,845.4394540812355,0.2,0.0008447252899932149,0.9991552747100068
1001742.6131852566,1000000.0,1742.6131852566032,0.2,0.0017395817671323663,0.9982604182328676
1008000.3920967459,1000000.0,8000.392096745898,0.2,0.007936893834043307,0.9920631061659567
1005092.7059459988,1000000.0,5092.7059459987795,0.2,0.005066901705555108,0.9949330982944449
1001954.8585394352,1000000.0,1954.8585394351976,0.2,0.0019510445233878347,0.9980489554766122
1003245.7731951971,1000000.0,3245.7731951971073,0.2,0.003235272235296616,0.9967647277647034
1005221.6464136211,1000000.0,5221.646413621143,0.2,0.0051945224540783305,0.9948054775459216
1001398.7714824872,1000000.0,1398.7714824872091,0.2,0.0013968176537868574,0.9986031823462131
999706.546229487,1000000.0,-293.4537705129478,0.2,-0.0002935399109065994,1.0002935399109065
1005218.7047927296,1000000.0,5218.704792729579,0.2,0.005191611305925358,0.9948083886940746
995411.6930386542,1000000.0,-4588.306961345836,0.2,-0.004609456562981786,1.0046094565629817
995207.5013512276,1000000.0,-4792.498648772365,0.2,-0.004815577296458703,1.0048155772964587
995616.2201615891,1000000.0,-4383.779838410905,0.2,-0.004403081980423555,1.0044030819804235
995412.1957794867,1000000.0,-4587.804220513324,0.2,-0.004608949176999695,1.0046089491769996
994595.4480900668,1000000.0,-5404.551909933216,0.2,-0.005433919811629583,1.0054339198116296
993571.144034183,1000000.0,-6428.855965816998,0.2,-0.006470453579915781,1.0064704535799158
996245.3544786944,1000000.0,-3754.645521305618,0.2,-0.0037687960143817307,1.0037687960143817
995329.4991746349,1000000.0,-4670.500825365074,0.2,-0.004692416761723661,1.0046924167617237
996453.0174270299,1000000.0,-3546.982572970097,0.2,-0.0035596084420807545,1.0035596084420808
992894.2528410268,1000000.0,-7105.747158973245,0.2,-0.0071566001501581385,1.0071566001501582
992997.4130465735,1000000.0,-7002.586953426478,0.2,-0.0070519689793975765,1.0070519689793975
992378.7285838847,1000000.0,-7621.271416115342,0.2,-0.007679801265985242,1.0076798012659853
994136.0666345934,1000000.0,-5863.933365406585,0.2,-0.0058985219048107865,1.0058985219048109
995675.7674534012,1000000.0,-4324.232546598767,0.2,-0.004343012743655174,1.0043430127436552
998022.129803398,1000000.0,-1977.870196601958,0.2,-0.0019817899198202966,1.0019817899198202
997112.5384720726,1000000.0,-2887.4615279274294,0.2,-0.002895823105736928,1.002895823105737
998025.4609675588,1000000.0,-1974.5390324412147,0.2,-0.001978445550404047,1.001978445550404
997520.1393309473,1000000.0,-2479.860669052694,0.2,-0.0024860256663248688,1.0024860256663248
997925.2135915187,1000000.0,-2074.7864084813045,0.2,-0.0020791000971046494,1.0020791000971045
998835.1773456818,1000000.0,-1164.8226543181809,0.2,-0.0011661810484224198,1.0011661810484225
997122.599867042,1000000.0,-2877.4001329579623,0.2,-0.0028857034564672784,1.0028857034564673
996412.5461718767,1000000.0,-3587.4538281232817,0.2,-0.0036003699892237827,1.0036003699892238
994276.2764288504,1000000.0,-5723.723571149632,0.2,-0.005756673177104832,1.0057566731771048
994276.2764288504,1000000.0,-5723.723571149632,0.2,-0.005756673177104832,1.0057566731771048
992942.3746011603,1000000.0,-7057.6253988397075,0.2,-0.007107789514647893,1.0071077895146479
993148.7050118092,1000000.0,-6851.294988190755,0.2,-0.006898559051244283,1.0068985590512443
991602.5511627512,1000000.0,-8397.448837248841,0.2,-0.00846856316313629,1.0084685631631363
989839.2404728788,1000000.0,-10160.759527121205,0.2,-0.01026506033673415,1.0102650603367342
991092.851521029,1000000.0,-8907.14847897098,0.2,-0.00898719879303053,1.0089871987930306
991924.3916759962,1000000.0,-8075.608324003755,0.2,-0.008141354715916276,1.0081413547159164
993789.1091357314,1000000.0,-6210.890864268644,0.2,-0.006249707113081637,1.0062497071130816
995845.586950657,1000000.0,-4154.413049343042,0.2,-0.004171744197877224,1.0041717441978772
992990.1088315011,1000000.0,-7009.8911684989,0.2,-0.0070593766303954164,1.0070593766303955
990410.913743627,1000000.0,-9589.086256372975,0.2,-0.009681927090370452,1.0096819270903705
993225.7705866261,1000000.0,-6774.2294133738615,0.2,-0.006820432588426312,1.0068204325884262
993019.5954999368,1000000.0,-6980.4045000631595,0.2,-0.007029473065482526,1.0070294730654825
992400.5758074659,1000000.0,-7599.424192534061,0.2,-0.007657617677570164,1.0076576176775702
992297.1445138302,1000000.0,-7702.855486169807,0.2,-0.007762650057754396,1.0077626500577543
991883.2467700954,1000000.0,-8116.753229904571,0.2,-0.008183174034177352,1.0081831740341773
992297.8365217388,1000000.0,-7702.163478261209,0.2,-0.007761947265005927,1.007761947265006
992815.1893264677,1000000.0,-7184.810673532309,0.2,-0.007236805752746925,1.007236805752747
