date,action,price,weight,shares
2016-01-12,buy,15.93000030517578,1.0,6277
2017-11-07,sell,36.79999923706055,-1.0,6277
2017-11-17,buy,36.25,1.0,6372
2018-02-02,sell,38.650001525878906,-1.0,6372
2018-02-09,buy,33.099998474121094,1.0,7440
2018-05-25,sell,36.619998931884766,-1.0,7440
2018-06-25,buy,36.209999084472656,1.0,7525
2018-12-05,sell,32.45000076293945,-1.0,7525
2018-12-27,buy,30.920000076293945,1.0,7897
2019-07-24,sell,41.720001220703125,-1.0,7897
2019-07-31,buy,41.060001373291016,1.0,8024
2020-05-05,sell,42.79999923706055,-1.0,8024
2020-06-05,buy,48.310001373291016,1.0,7109
2021-07-08,sell,134.8000030517578,-1.0,7109
2021-07-14,buy,135.5,1.0,7072
2022-06-02,sell,119.4499969482422,-1.0,7072
2022-06-21,buy,106.5999984741211,1.0,7924
2022-08-18,sell,109.8499984741211,-1.0,7924
2022-09-07,buy,97.1500015258789,1.0,8960
2022-12-02,sell,102.6500015258789,-1.0,8960
2022-12-13,buy,99.25,1.0,9267
2023-06-08,sell,133.10000610351562,-1.0,9267
2023-07-11,buy,134.3000030517578,1.0,9184
2024-07-11,sell,279.3999938964844,-1.0,9184
2024-07-22,buy,246.0500030517578,1.0,10429
2024-10-18,sell,257.04998779296875,-1.0,10429
2024-11-12,buy,245.4499969482422,1.0,10922
2025-05-20,sell,197.5,-1.0,10922
2025-06-23,buy,197.4499969482422,1.0,10924
2025-08-08,sell_forced,253.1999969482422,-1.0,10924
