date,action,price,weight,shares
2015-09-03,buy,17.200000762939453,1.0,5813
2015-11-30,sell,18.229999542236328,-1.0,5813
2016-05-27,buy,18.88999938964844,1.0,5610
2018-02-07,sell,35.20000076293945,-1.0,5610
2018-05-10,buy,35.4900016784668,1.0,5564
2018-08-17,sell,38.630001068115234,-1.0,5564
2018-11-16,buy,32.650001525878906,1.0,6583
2020-01-17,sell,54.400001525878906,-1.0,6583
2020-04-21,buy,40.79999923706055,1.0,8777
2021-10-04,sell,121.1999969482422,-1.0,8777
2022-07-26,buy,102.0999984741211,1.0,10419
2022-09-05,sell,100.25,-1.0,10419
2022-11-07,buy,79.05000305175781,1.0,13213
2023-07-21,sell,136.39999389648438,-1.0,13213
2023-11-10,buy,131.8000030517578,1.0,13674
2024-03-25,sell,193.5500030517578,-1.0,13674
2024-09-12,buy,213.1999969482422,1.0,12414
2024-11-14,sell,238.3500061035156,-1.0,12414
2025-05-02,buy,176.5500030517578,1.0,16759
2025-08-08,sell_forced,253.1999969482422,-1.0,16759
