date,action,price,weight,shares
2016-04-12,buy,19.299999237060547,1.0,5181
2016-09-30,sell,24.649999618530277,-1.0,5181
2016-11-24,buy,24.729999542236328,1.0,5164
2016-12-15,sell,25.46999931335449,-1.0,5164
2017-02-02,buy,26.13999938964844,1.0,5032
2017-02-06,sell,25.86000061035156,-1.0,5032
2017-02-24,buy,27.489999771118164,1.0,4733
2017-10-25,sell,36.59000015258789,-1.0,4733
2017-11-30,buy,35.47999954223633,1.0,4881
2018-06-15,sell,37.0,-1.0,4881
2018-07-06,buy,35.9900016784668,1.0,5018
2018-08-10,sell,40.130001068115234,-1.0,5018
2018-08-16,buy,37.91999816894531,1.0,5311
2018-09-05,sell,40.77999877929688,-1.0,5311
2018-10-12,buy,31.68000030517578,1.0,6836
2019-02-26,sell,35.9900016784668,-1.0,6836
2019-05-21,buy,36.18000030517578,1.0,6800
2019-12-19,sell,54.54999923706055,-1.0,6800
2020-02-10,buy,48.79999923706055,1.0,7601
2020-08-06,sell,66.55000305175781,-1.0,7601
2020-10-05,buy,64.25,1.0,7873
2022-01-04,sell,148.75,-1.0,7873
2022-02-22,buy,144.39999389648438,1.0,8110
2022-08-19,sell,110.3499984741211,-1.0,8110
2022-10-31,buy,76.44999694824219,1.0,11707
2022-11-17,sell,97.0999984741211,-1.0,11707
2023-01-10,buy,101.6999969482422,1.0,11177
2023-10-03,sell,130.25,-1.0,11177
2023-11-01,buy,123.25,1.0,11812
2024-03-08,sell,189.6499938964844,-1.0,11812
2024-04-26,buy,190.1000061035156,1.0,11784
2024-06-18,sell,241.9499969482422,-1.0,11784
2024-08-01,buy,243.1000061035156,1.0,11728
2025-02-27,sell,243.5,-1.0,11728
2025-03-11,buy,213.6000061035156,1.0,13370
2025-07-18,sell,240.0,-1.0,13370
