date,action,price,weight,shares
2016-05-27,buy,18.88999938964844,1.0,5293
2016-08-09,sell,23.75,-1.0,5293
2016-09-26,buy,24.739999771118164,1.0,5081
2018-02-26,sell,36.88999938964844,-1.0,5081
2018-03-07,buy,36.09999847412109,1.0,5192
2018-09-13,sell,39.61000061035156,-1.0,5192
2019-01-14,buy,31.61000061035156,1.0,6506
2019-05-20,sell,36.68000030517578,-1.0,6506
2019-07-25,buy,41.59999847412109,1.0,5737
2019-11-21,sell,48.86000061035156,-1.0,5737
2020-04-10,buy,37.220001220703125,1.0,7531
2021-05-17,sell,99.5500030517578,-1.0,7531
2021-05-25,buy,114.0500030517578,1.0,6573
2022-03-11,sell,131.75,-1.0,6573
2022-04-14,buy,131.60000610351562,1.0,6581
2023-07-14,sell,140.8000030517578,-1.0,6581
2023-08-11,buy,133.89999389648438,1.0,6920
2023-09-07,sell,132.1999969482422,-1.0,6920
2023-09-21,buy,128.75,1.0,7105
2024-07-08,sell,264.0,-1.0,7105
2024-08-07,buy,197.5,1.0,9497
2025-02-13,sell,241.8000030517578,-1.0,9497
2025-05-02,buy,176.5500030517578,1.0,13007
2025-08-08,sell_forced,253.1999969482422,-1.0,13007
