date,action,price,weight,shares
2016-05-23,buy,17.450000762939453,1.0,5730
2016-10-27,sell,25.739999771118164,-1.0,5730
2016-11-18,buy,23.670000076293945,1.0,6231
2017-06-26,sell,32.209999084472656,-1.0,6231
2017-08-01,buy,33.9900016784668,1.0,5905
2018-01-30,sell,39.11000061035156,-1.0,5905
2018-04-20,buy,36.5,1.0,6327
2018-10-02,sell,41.0099983215332,-1.0,6327
2018-10-30,buy,30.56999969482422,1.0,8488
2019-05-03,sell,40.709999084472656,-1.0,8488
2019-05-28,buy,35.689998626708984,1.0,9682
2019-11-19,sell,49.56999969482422,-1.0,9682
2020-03-02,buy,45.65999984741211,1.0,10511
2020-08-28,sell,64.80000305175781,-1.0,10511
2020-12-03,buy,80.1500015258789,1.0,8498
2022-01-11,sell,146.85000610351562,-1.0,8498
2022-05-10,buy,109.0500030517578,1.0,11443
2023-02-24,sell,114.0,-1.0,11443
2023-03-06,buy,114.8499984741211,1.0,11358
2024-02-21,sell,165.64999389648438,-1.0,11358
2024-04-23,buy,182.5500030517578,1.0,10307
2025-08-08,sell_forced,253.1999969482422,-1.0,10307
