date,action,price,weight,shares
2016-04-22,buy,19.280000686645508,1.0,5186
2016-11-02,sell,25.0,-1.0,5186
2016-12-20,buy,25.1200008392334,1.0,5161
2018-01-03,sell,35.689998626708984,-1.0,5161
2018-02-23,buy,35.72999954223633,1.0,5155
2018-08-31,sell,40.84999847412109,-1.0,5155
2018-10-12,buy,31.68000030517578,1.0,6648
2019-04-22,sell,40.7599983215332,-1.0,6648
2019-05-16,buy,37.41999816894531,1.0,7241
2020-08-13,sell,65.69999694824219,-1.0,7241
2020-10-14,buy,67.69999694824219,1.0,7027
2021-01-20,sell,107.3499984741211,-1.0,7027
2021-03-23,buy,111.6999969482422,1.0,6753
2022-02-21,sell,145.0500030517578,-1.0,6753
2022-04-18,buy,124.8499984741211,1.0,7846
2022-06-02,sell,119.4499969482422,-1.0,7846
2022-07-04,buy,92.3000030517578,1.0,10153
2022-08-11,sell,107.5,-1.0,10153
2022-11-08,buy,81.4000015258789,1.0,13409
2023-06-21,sell,137.89999389648438,-1.0,13409
2023-08-14,buy,129.9499969482422,1.0,14229
2023-10-16,sell,132.35000610351562,-1.0,14229
2023-11-13,buy,136.64999389648438,1.0,13781
2024-03-07,sell,183.3000030517578,-1.0,13781
2024-04-19,buy,186.5500030517578,1.0,13541
2024-10-24,sell,249.6999969482422,-1.0,13541
2024-11-06,buy,244.3999938964844,1.0,13835
2025-07-01,sell,216.3500061035156,-1.0,13835
