date,action,price,weight,shares
2016-04-14,buy,20.100000381469727,1.0,4975
2016-10-05,sell,24.81999969482422,-1.0,4975
2016-11-17,buy,23.739999771118164,1.0,5201
2016-12-15,sell,25.46999931335449,-1.0,5201
2017-01-17,buy,25.190000534057617,1.0,5259
2017-10-20,sell,36.58000183105469,-1.0,5259
2017-11-30,buy,35.47999954223633,1.0,5422
2018-02-02,sell,38.650001525878906,-1.0,5422
2018-02-08,buy,34.810001373291016,1.0,6020
2018-06-14,sell,37.650001525878906,-1.0,6020
2018-07-05,buy,36.380001068115234,1.0,6230
2018-08-06,sell,40.119998931884766,-1.0,6230
2018-08-21,buy,38.59999847412109,1.0,6475
2018-08-31,sell,40.84999847412109,-1.0,6475
2018-09-17,buy,40.459999084472656,1.0,6538
2018-10-02,sell,41.0099983215332,-1.0,6538
2018-10-08,buy,37.36000061035156,1.0,7176
2019-02-25,sell,35.619998931884766,-1.0,7176
2019-05-15,buy,37.40999984741211,1.0,6833
2019-12-17,sell,53.150001525878906,-1.0,6833
2020-02-18,buy,50.900001525878906,1.0,7135
2020-08-05,sell,64.8499984741211,-1.0,7135
2020-09-25,buy,61.0,1.0,7585
2021-11-24,sell,136.4499969482422,-1.0,7585
2021-11-30,buy,132.89999389648438,1.0,7787
2021-12-30,sell,146.4499969482422,-1.0,7787
2022-02-17,buy,147.8000030517578,1.0,7716
2022-08-19,sell,110.3499984741211,-1.0,7716
2022-10-26,buy,74.19999694824219,1.0,11476
2022-11-17,sell,97.0999984741211,-1.0,11476
2022-12-30,buy,93.4499969482422,1.0,11924
2023-10-03,sell,130.25,-1.0,11924
2023-10-30,buy,124.5999984741211,1.0,12465
2024-03-06,sell,176.0,-1.0,12465
2024-04-24,buy,186.8999938964844,1.0,11738
2024-06-18,sell,241.9499969482422,-1.0,11738
2024-07-30,buy,228.6999969482422,1.0,12418
2025-02-26,sell,239.0,-1.0,12418
2025-03-11,buy,213.6000061035156,1.0,13894
2025-07-10,sell,218.6000061035156,-1.0,13894
