date,action,price,weight,shares
2016-04-11,buy,19.049999237060547,1.0,5249
2016-09-26,sell,24.739999771118164,-1.0,5249
2016-11-18,buy,23.670000076293945,1.0,5486
2016-12-22,sell,24.899999618530277,-1.0,5486
2017-01-04,buy,25.13999938964844,1.0,5434
2017-02-16,sell,28.059999465942383,-1.0,5434
2017-02-22,buy,27.81999969482422,1.0,5481
2017-10-25,sell,36.59000015258789,-1.0,5481
2017-11-28,buy,36.27000045776367,1.0,5529
2018-06-15,sell,37.0,-1.0,5529
2018-07-06,buy,35.9900016784668,1.0,5684
2018-09-25,sell,40.52999877929688,-1.0,5684
2018-10-11,buy,35.099998474121094,1.0,6563
2019-02-27,sell,35.93000030517578,-1.0,6563
2019-05-15,buy,37.40999984741211,1.0,6304
2019-12-19,sell,54.54999923706055,-1.0,6304
2020-01-07,buy,53.29999923706055,1.0,6451
2020-01-16,sell,53.650001525878906,-1.0,6451
2020-01-31,buy,48.84999847412109,1.0,7085
2020-08-06,sell,66.55000305175781,-1.0,7085
2020-09-29,buy,63.25,1.0,7455
2022-01-06,sell,148.25,-1.0,7455
2022-02-17,buy,147.8000030517578,1.0,7477
2022-08-19,sell,110.3499984741211,-1.0,7477
2022-10-21,buy,76.8499984741211,1.0,10737
2022-11-24,sell,100.3000030517578,-1.0,10737
2023-01-03,buy,91.5,1.0,11770
2023-10-02,sell,130.14999389648438,-1.0,11770
2023-11-01,buy,123.25,1.0,12429
2024-03-11,sell,184.8500061035156,-1.0,12429
2024-04-24,buy,186.8999938964844,1.0,12292
2024-06-21,sell,253.0500030517578,-1.0,12292
2024-07-31,buy,231.0,1.0,13466
2025-02-26,sell,239.0,-1.0,13466
2025-03-12,buy,216.6999969482422,1.0,14851
2025-07-22,sell,238.3500061035156,-1.0,14851
