date,action,price,weight,shares
2016-04-06,buy,19.65999984741211,1.0,5086
2016-10-05,sell,24.81999969482422,-1.0,5086
2016-11-11,buy,24.15999984741211,1.0,5225
2016-12-14,sell,25.84000015258789,-1.0,5225
2017-01-17,buy,25.190000534057617,1.0,5360
2017-10-19,sell,36.52999877929688,-1.0,5360
2017-11-28,buy,36.27000045776367,1.0,5398
2018-01-31,sell,38.33000183105469,-1.0,5398
2018-02-08,buy,34.810001373291016,1.0,5944
2018-06-14,sell,37.650001525878906,-1.0,5944
2018-07-02,buy,36.70000076293945,1.0,6098
2018-08-02,sell,40.65999984741211,-1.0,6098
2018-08-23,buy,39.220001220703125,1.0,6322
2018-08-31,sell,40.84999847412109,-1.0,6322
2018-09-13,buy,39.61000061035156,1.0,6520
2018-10-01,sell,40.83000183105469,-1.0,6520
2018-10-11,buy,35.099998474121094,1.0,7584
2019-02-25,sell,35.619998931884766,-1.0,7584
2019-05-15,buy,37.40999984741211,1.0,7221
2019-12-19,sell,54.54999923706055,-1.0,7221
2019-12-31,buy,53.75,1.0,7328
2020-01-03,sell,55.150001525878906,-1.0,7328
2020-02-12,buy,50.75,1.0,7964
2020-08-05,sell,64.8499984741211,-1.0,7964
2020-09-22,buy,65.0999984741211,1.0,7933
2020-12-04,sell,80.9000015258789,-1.0,7933
2020-12-16,buy,82.8499984741211,1.0,7746
2021-12-30,sell,146.4499969482422,-1.0,7746
2022-02-16,buy,145.8000030517578,1.0,7780
2022-08-19,sell,110.3499984741211,-1.0,7780
2022-10-26,buy,74.19999694824219,1.0,11572
2022-11-17,sell,97.0999984741211,-1.0,11572
2022-12-29,buy,91.0,1.0,12347
2023-10-02,sell,130.14999389648438,-1.0,12347
2023-10-27,buy,124.1999969482422,1.0,12939
2024-03-05,sell,178.0,-1.0,12939
2024-04-23,buy,182.5500030517578,1.0,12616
2024-05-28,sell,224.9499969482422,-1.0,12616
2024-06-05,buy,214.4499969482422,1.0,13234
2024-06-13,sell,234.0,-1.0,13234
2024-07-29,buy,238.0,1.0,13011
2025-02-25,sell,242.0,-1.0,13011
2025-03-06,buy,233.0500030517578,1.0,13511
2025-07-09,sell,213.6999969482422,-1.0,13511
