date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2016-05-17,100000.00000000,100000.00000000,0.00000000,0.00000000
2016-05-18,100000.00000000,100000.00000000,0.00000000,0.00000000
2016-05-19,99366.72648621,0.90516853,99365.82131767,0.00000000
2016-05-20,100805.97648621,0.90516853,100805.07131767,0.00000000
2016-05-23,106735.69043922,0.90516853,106734.78527069,0.00000000
2016-05-24,105354.00077629,0.90516853,105353.09560776,0.00000000
2016-05-25,107771.94121552,0.90516853,107771.03604698,0.00000000
2016-05-26,107656.80956078,0.90516853,107655.90439224,0.00000000
2016-05-27,109326.33385086,0.90516853,109325.42868233,0.00000000
2016-05-30,111053.44043922,0.90516853,111052.53527069,0.00000000
2016-05-31,110823.15516853,0.90516853,110822.25000000,0.00000000
2016-06-01,112780.53604698,0.90516853,112779.63087845,0.00000000
2016-06-02,111859.41692543,0.90516853,111858.51175690,0.00000000
2016-06-03,112492.69043922,0.90516853,112491.78527069,0.00000000
2016-06-04,113298.66692543,0.90516853,113297.76175690,0.00000000
2016-06-06,112953.25000000,0.90516853,112952.34483147,0.00000000
2016-06-07,115543.89341164,0.90516853,115542.98824310,0.00000000
2016-06-08,116752.86912155,0.90516853,116751.96395302,0.00000000
2016-06-13,111168.57209396,0.90516853,111167.66692543,0.00000000
2016-06-14,112665.39341164,0.90516853,112664.48824310,0.00000000
2016-06-15,113586.51253319,0.90516853,113585.60736465,0.00000000
2016-06-16,110074.75000000,0.90516853,110073.84483147,0.00000000
2016-06-17,112895.67868233,0.90516853,112894.77351379,0.00000000
2016-06-20,114853.05956078,0.90516853,114852.15439224,0.00000000
2016-06-21,116177.16692543,0.90516853,116176.26175690,0.00000000
2016-06-22,116062.02429008,0.90516853,116061.11912155,0.00000000
2016-06-23,116062.02429008,0.90516853,116061.11912155,0.00000000
2016-06-24,108865.77429008,0.90516853,108864.86912155,0.00000000
2016-06-27,111341.28604698,0.90516853,111340.38087845,0.00000000
2016-06-28,112492.69043922,0.90516853,112491.78527069,0.00000000
2016-06-29,114277.35736465,0.90516853,114276.45219612,0.00000000
2016-06-30,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-01,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-04,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-05,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-06,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-07,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-11,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-12,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-13,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-14,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-15,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-18,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-19,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-20,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-21,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-22,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-25,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-26,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-27,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-28,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-07-29,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-01,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-02,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-03,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-04,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-05,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-08,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-09,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-10,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-11,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-12,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-15,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-16,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-17,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-18,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-19,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-22,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-23,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-24,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-25,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-26,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-29,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-30,114277.35736465,114277.35736465,0.00000000,0.00000000
2016-08-31,112313.04809570,12.00553703,112301.04255867,0.00000000
2016-09-01,111211.11115074,12.00553703,111199.10561371,0.00000000
2016-09-02,110875.74261284,12.00553703,110863.73707581,0.00000000
2016-09-05,114516.90370941,12.00553703,114504.89817238,0.00000000
2016-09-06,116337.48882675,12.00553703,116325.48328972,0.00000000
2016-09-07,119547.45919228,12.00553703,119535.45365524,0.00000000
2016-09-08,119068.35736465,12.00553703,119056.35182762,0.00000000
2016-09-09,115858.38699913,12.00553703,115846.38146210,0.00000000
2016-09-10,111690.21297836,12.00553703,111678.20744133,0.00000000
2016-09-12,110540.37407494,12.00553703,110528.36853790,0.00000000
2016-09-13,109965.45919228,12.00553703,109953.45365524,0.00000000
2016-09-14,109294.71297836,12.00553703,109282.70744133,0.00000000
2016-09-19,116481.21297836,12.00553703,116469.20744133,0.00000000
2016-09-20,116241.66663361,12.00553703,116229.66109657,0.00000000
2016-09-21,117391.50553703,12.00553703,117379.50000000,0.00000000
2016-09-22,118205.97590256,12.00553703,118193.97036552,0.00000000
2016-09-23,119739.09444046,12.00553703,119727.08890343,0.00000000
2016-09-26,117247.77224731,12.00553703,117235.76671028,0.00000000
2016-09-27,117247.77224731,12.00553703,117235.76671028,0.00000000
2016-09-28,117247.77224731,12.00553703,117235.76671028,0.00000000
2016-09-29,120457.74261284,12.00553703,120445.73707581,0.00000000
2016-09-30,117774.78517151,12.00553703,117762.77963448,0.00000000
2016-10-03,118397.61115074,12.00553703,118385.60561371,0.00000000
2016-10-04,120074.46297836,12.00553703,120062.45744133,0.00000000
2016-10-05,119643.27224731,12.00553703,119631.26671028,0.00000000
2016-10-06,119882.82773018,12.00553703,119870.82219315,0.00000000
2016-10-07,119930.73882675,12.00553703,119918.73328972,0.00000000
2016-10-11,118445.52224731,12.00553703,118433.51671028,0.00000000
2016-10-12,120888.93334389,12.00553703,120876.92780685,0.00000000
2016-10-13,118924.62407494,12.00553703,118912.61853790,0.00000000
2016-10-14,118349.70919228,12.00553703,118337.70365524,0.00000000
2016-10-17,118253.88699913,12.00553703,118241.88146210,0.00000000
2016-10-18,119643.27224731,12.00553703,119631.26671028,0.00000000
2016-10-19,121032.66663361,12.00553703,121020.66109657,0.00000000
2016-10-20,121942.95919228,12.00553703,121930.95365524,0.00000000
2016-10-21,121847.13699913,12.00553703,121835.13146210,0.00000000
2016-10-24,122565.78517151,12.00553703,122553.77963448,0.00000000
2016-10-25,124625.91663361,12.00553703,124613.91109657,0.00000000
2016-10-26,123428.16663361,12.00553703,123416.16109657,0.00000000
2016-10-27,121990.86115074,12.00553703,121978.85561371,0.00000000
2016-10-28,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-10-31,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-01,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-02,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-03,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-04,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-07,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-08,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-09,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-10,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-11,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-14,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-15,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-16,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-17,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-18,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-21,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-22,123332.34444046,123332.34444046,0.00000000,0.00000000
2016-11-23,126438.46754837,4.10793686,126434.35961151,0.00000000
2016-11-24,125267.30987930,4.10793686,125263.20194244,0.00000000
2016-11-25,125572.82715988,4.10793686,125568.71922302,0.00000000
2016-11-28,127355.02910233,4.10793686,127350.92116547,0.00000000
2016-11-29,126998.59065628,4.10793686,126994.48271942,0.00000000
2016-11-30,126794.90599442,4.10793686,126790.79805756,0.00000000
2016-12-01,128067.90599442,4.10793686,128063.79805756,0.00000000
2016-12-02,124961.79259872,4.10793686,124957.68466187,0.00000000
2016-12-05,124910.87143326,4.10793686,124906.76349640,0.00000000
2016-12-06,128169.74832535,4.10793686,128165.64038849,0.00000000
2016-12-07,128169.74832535,4.10793686,128165.64038849,0.00000000
2016-12-08,130664.82715988,4.10793686,130660.71922302,0.00000000
2016-12-09,131683.23104477,4.10793686,131679.12310791,0.00000000
2016-12-12,130868.51182175,4.10793686,130864.40388489,0.00000000
2016-12-13,131428.62521744,4.10793686,131424.51728058,0.00000000
2016-12-14,131377.70405197,4.10793686,131373.59611511,0.00000000
2016-12-15,131123.10793686,4.10793686,131119.00000000,0.00000000
2016-12-16,129646.42327499,4.10793686,129642.31533813,0.00000000
2016-12-19,127660.54638290,4.10793686,127656.43844604,0.00000000
2016-12-20,127507.79259872,4.10793686,127503.68466187,0.00000000
2016-12-21,127151.34444046,4.10793686,127147.23650360,0.00000000
2016-12-22,124248.90599442,4.10793686,124244.79805756,0.00000000
2016-12-23,123485.10793686,4.10793686,123481.00000000,0.00000000
2016-12-26,123943.38871384,4.10793686,123939.28077698,0.00000000
2016-12-27,124045.23104477,4.10793686,124041.12310791,0.00000000
2016-12-28,126591.23104477,4.10793686,126587.12310791,0.00000000
