date,weight,price
2014-10-23,0.20000000,20.00000000
2014-10-24,0.20000000,20.00000000
2014-10-27,0.20000000,20.00000000
2014-10-28,0.20000000,20.00000000
2014-10-29,0.20000000,20.00000000
2014-10-30,0.20000000,19.98999977
2014-10-31,0.20000000,20.20000076
2014-11-03,0.20000000,20.36000061
2014-11-04,0.20000000,20.46999931
2014-11-05,0.20000000,20.29999924
2014-11-06,0.20000000,20.01000023
2014-11-07,0.20000000,20.12999916
2014-11-10,0.20000000,20.73999977
2014-11-11,0.20000000,20.69000053
2014-11-12,0.20000000,20.10000038
2014-11-13,0.20000000,20.29999924
2014-11-14,0.20000000,20.31999969
2014-11-17,0.20000000,20.05999947
2014-11-18,0.20000000,19.89999962
2014-11-19,0.20000000,20.37999916
2014-11-20,0.20000000,20.90999985
2014-11-21,0.20000000,19.47999954
2014-11-24,0.20000000,19.46999931
2014-11-25,0.20000000,19.45000076
2014-11-26,0.20000000,19.47999954
2014-11-27,0.20000000,19.32999992
2014-11-28,0.20000000,19.34000015
2014-12-01,0.20000000,19.45000076
2014-12-02,0.20000000,19.62000084
2014-12-03,0.20000000,19.34000015
2014-12-04,0.20000000,19.26000023
2014-12-05,0.20000000,19.27000046
2014-12-08,0.20000000,19.29999924
2014-12-09,0.20000000,19.39999962
2014-12-10,0.20000000,19.64999962
2014-12-11,0.20000000,19.65999985
2014-12-12,0.20000000,19.64999962
2014-12-15,0.20000000,19.65999985
2014-12-16,0.20000000,19.73999977
2014-12-17,0.20000000,19.90999985
2014-12-18,0.20000000,19.95000076
2014-12-19,0.20000000,19.59000015
2014-12-22,0.20000000,19.43000031
2014-12-23,0.20000000,19.37999916
2014-12-24,0.20000000,19.27000046
2014-12-25,0.20000000,19.27000046
2014-12-26,0.20000000,19.20000076
2014-12-29,0.20000000,18.97999954
2014-12-30,0.20000000,19.05999947
2014-12-31,0.20000000,19.04999924
2015-01-05,0.20000000,19.12000084
2015-01-06,0.20000000,19.53000069
2015-01-07,0.20000000,19.48999977
2015-01-08,0.20000000,19.12000084
2015-01-09,0.20000000,19.17000008
2015-01-12,0.20000000,19.25000000
2015-01-13,0.20000000,19.15999985
2015-01-14,0.20000000,19.27000046
2015-01-15,0.20000000,19.27000046
2015-01-16,0.20000000,19.39999962
2015-01-19,0.20000000,19.30999947
2015-01-20,0.20000000,19.12000084
2015-01-21,0.20000000,19.03000069
2015-01-22,0.20000000,18.88999939
2015-01-23,0.20000000,18.70000076
2015-01-26,0.20000000,18.70999908
2015-01-27,0.20000000,18.60000038
2015-01-28,0.20000000,18.59000015
2015-01-29,0.20000000,18.75000000
2015-01-30,0.20000000,18.81999969
2015-02-02,0.20000000,18.81999969
2015-02-03,0.20000000,18.70999908
2015-02-04,0.20000000,18.60000038
2015-02-05,0.20000000,16.96999931
2015-02-06,0.20000000,18.69000053
2015-02-09,0.20000000,18.72999954
2015-02-10,0.20000000,18.77000046
2015-02-11,0.20000000,18.62999916
2015-02-12,0.20000000,18.65999985
2015-02-13,0.20000000,18.57999992
2015-02-24,0.20000000,18.38999939
2015-02-25,0.20000000,18.28000069
2015-02-26,0.20000000,18.34000015
2015-03-02,0.20000000,18.38999939
2015-03-03,0.20000000,18.39999962
2015-03-04,0.20000000,18.40999985
2015-03-05,0.20000000,18.42000008
2015-03-06,0.20000000,18.39999962
2015-03-09,0.20000000,18.46999931
2015-03-10,0.20000000,18.55999947
2015-03-11,0.20000000,18.59000015
2015-03-12,0.20000000,18.45000076
2015-03-13,0.20000000,18.46999931
2015-03-16,0.20000000,18.53000069
2015-03-17,0.20000000,18.52000046
2015-03-18,0.20000000,18.38999939
2015-03-19,0.20000000,18.19000053
2015-03-20,0.20000000,18.18000031
2015-03-23,0.20000000,18.18000031
2015-03-24,0.20000000,18.23999977
2015-03-25,0.20000000,18.28000069
2015-03-26,0.20000000,18.42000008
2015-03-27,0.20000000,18.55999947
2015-03-30,0.20000000,18.54000092
2015-03-31,0.20000000,18.47999954
2015-04-01,0.20000000,18.61000061
