date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2015-04-08,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-09,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-10,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-13,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-14,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-15,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-16,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-04-17,99783.79505157,7.50000000,99776.29505157,0.00000000
2015-04-20,99945.94876289,7.50000000,99938.44876289,0.00000000
2015-04-21,100054.05123711,7.50000000,100046.55123711,0.00000000
2015-04-22,99297.35453606,7.50000000,99289.85453606,0.00000000
2015-04-23,97135.34628868,7.50000000,97127.84628868,0.00000000
2015-04-24,96378.64958763,7.50000000,96371.14958763,0.00000000
2015-04-27,95405.74793816,7.50000000,95398.24793816,0.00000000
2015-04-28,95730.04505157,7.50000000,95722.54505157,0.00000000
2015-04-29,96324.59835052,7.50000000,96317.09835052,0.00000000
2015-04-30,96648.89546394,7.50000000,96641.39546394,0.00000000
2015-05-04,96486.75206184,7.50000000,96479.25206184,0.00000000
2015-05-05,96919.15164948,7.50000000,96911.65164948,0.00000000
2015-05-06,96702.94670105,7.50000000,96695.44670105,0.00000000
2015-05-07,97675.84835052,7.50000000,97668.34835052,0.00000000
2015-05-08,97838.00206184,7.50000000,97830.50206184,0.00000000
2015-05-11,98054.19670105,7.50000000,98046.69670105,0.00000000
2015-05-12,98108.24793816,7.50000000,98100.74793816,0.00000000
2015-05-13,97946.10453606,7.50000000,97938.60453606,0.00000000
2015-05-14,99081.14958763,7.50000000,99073.64958763,0.00000000
2015-05-15,99675.70288658,7.50000000,99668.20288658,0.00000000
2015-05-18,99459.49793816,7.50000000,99451.99793816,0.00000000
2015-05-19,98216.35041237,7.50000000,98208.85041237,0.00000000
2015-05-20,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-21,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-22,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-25,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-26,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-27,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-28,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-05-29,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-01,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-02,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-03,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-04,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-05,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-08,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-09,99243.30329895,99243.30329895,0.00000000,0.00000000
2015-06-10,99506.10931396,10.02770996,99496.08160400,0.00000000
2015-06-11,99506.10931396,10.02770996,99496.08160400,0.00000000
2015-06-12,99768.90530396,10.02770996,99758.87759399,0.00000000
2015-06-15,100189.38490295,10.02770996,100179.35719299,0.00000000
2015-06-16,100977.78289795,10.02770996,100967.75518799,0.00000000
2015-06-17,100609.86450195,10.02770996,100599.83679199,0.00000000
2015-06-18,100452.19091797,10.02770996,100442.16320801,0.00000000
2015-06-22,99085.62971497,10.02770996,99075.60200500,0.00000000
2015-06-23,98612.58891296,10.02770996,98602.56120300,0.00000000
2015-06-24,98717.71131897,10.02770996,98707.68360901,0.00000000
2015-06-25,97666.50730896,10.02770996,97656.47959900,0.00000000
2015-06-26,97771.62971497,10.02770996,97761.60200500,0.00000000
2015-06-29,99979.15011597,10.02770996,99969.12240601,0.00000000
2015-06-30,99190.75212097,10.02770996,99180.72441101,0.00000000
2015-07-01,98244.67051697,10.02770996,98234.64280701,0.00000000
2015-07-02,98192.10931396,10.02770996,98182.08160400,0.00000000
2015-07-03,98034.42570496,10.02770996,98024.39799500,0.00000000
2015-07-06,98770.27252197,10.02770996,98760.24481201,0.00000000
2015-07-07,98560.02770996,10.02770996,98550.00000000,0.00000000
2015-07-08,101555.94610596,10.02770996,101545.91839600,0.00000000
2015-07-09,101976.42570496,10.02770996,101966.39799500,0.00000000
2015-07-13,100609.86450195,10.02770996,100599.83679199,0.00000000
2015-07-14,100767.54811096,10.02770996,100757.52040100,0.00000000
2015-07-15,100714.98690796,10.02770996,100704.95919800,0.00000000
2015-07-16,100294.50730896,10.02770996,100284.47959900,0.00000000
2015-07-17,100452.19091797,10.02770996,100442.16320801,0.00000000
2015-07-20,101135.46650696,10.02770996,101125.43879700,0.00000000
2015-07-21,100609.86450195,10.02770996,100599.83679199,0.00000000
2015-07-22,101240.58891296,10.02770996,101230.56120300,0.00000000
2015-07-23,102028.98690796,10.02770996,102018.95919800,0.00000000
2015-07-24,102712.27252197,10.02770996,102702.24481201,0.00000000
2015-07-27,104604.42570496,10.02770996,104594.39799500,0.00000000
2015-07-28,104236.50730896,10.02770996,104226.47959900,0.00000000
2015-07-29,105077.46650696,10.02770996,105067.43879700,0.00000000
2015-07-30,103816.02770996,10.02770996,103806.00000000,0.00000000
2015-07-31,104499.30329895,10.02770996,104489.27558899,0.00000000
2015-08-03,105865.86450195,10.02770996,105855.83679199,0.00000000
2015-08-04,105708.19091797,10.02770996,105698.16320801,0.00000000
2015-08-05,104709.54811096,10.02770996,104699.52040100,0.00000000
2015-08-06,106128.67051697,10.02770996,106118.64280701,0.00000000
2015-08-07,106391.46650696,10.02770996,106381.43879700,0.00000000
2015-08-10,105550.50730896,10.02770996,105540.47959900,0.00000000
2015-08-11,106549.15011597,10.02770996,106539.12240601,0.00000000
2015-08-12,107547.78289795,10.02770996,107537.75518799,0.00000000
2015-08-13,107390.10931396,10.02770996,107380.08160400,0.00000000
2015-08-14,107495.23171997,10.02770996,107485.20401001,0.00000000
2015-08-17,108231.06851196,10.02770996,108221.04080200,0.00000000
2015-08-18,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-19,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-20,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-21,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-24,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-25,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-26,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-27,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-28,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-08-31,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-01,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-02,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-03,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-04,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-07,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-08,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-09,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-10,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-11,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-14,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-15,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-16,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-17,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-18,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-21,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-22,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-23,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-24,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-25,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-09-30,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-01,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-02,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-05,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-06,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-07,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-08,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-12,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-13,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-14,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-15,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-16,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-19,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-20,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-21,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-22,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-23,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-26,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-27,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-28,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-29,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-10-30,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-02,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-03,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-04,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-05,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-06,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-09,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-10,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-11,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-12,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-13,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-16,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-17,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-18,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-19,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-20,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-23,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-24,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-25,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-26,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-27,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-11-30,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-12-01,107495.23171997,107495.23171997,0.00000000,0.00000000
2015-12-02,107495.23171997,107495.23171997,0.00000000,0.00000000
